DATABASE_ID,GENERIC_NAME,SMILES,FORMULA,MOLECULAR_WEIGHT,EXACT_MASS,Total.Molweight,cLogP,H.Acceptors,H.Donors
DB13116,Norflurane,FCC(F)(F)F,C2H2F4,102.032,102.0092627,102.03,1.2359,0,0
DB00592,Piperazine,C1CNCCN1,C4H10N2,86.1356,86.08439833,86.1374,-0.563,2,2
DB01213,Fomepizole,CC1=CNN=C1,C4H6N2,82.1038,82.0530982,82.1056,-0.1029,2,1
DB11129,Carbamide peroxide,OO.NC(N)=O,CH6N2O3,94.07,94.03784206,94.0696,-1.3194,3,2
DB00653,Magnesium sulfate,[Mg++].[O-]S([O-])(=O)=O,MgO4S,120.368,119.9367711,120.367,-3.4103,4,2
DB06778,Cupric sulfate,[Cu++].[O-]S([O-])(=O)=O,CuO4S,159.609,158.8813303,159.608,-3.4103,4,2
DB09322,Zinc sulfate,[Zn++].[O-]S([O-])(=O)=O,O4SZn,161.472,159.8808758,161.452,-3.4103,4,2
DB13257,Ferrous sulfate anhydrous,[Fe++].[O-]S([O-])(=O)=O,FeO4S,151.908,151.8866713,151.907,-3.4103,4,2
DB14180,Nickel sulfate,[Ni++].[O-]S([O-])(=O)=O,NiO4S,154.756,153.8870771,154.755,-3.4103,4,2
DB11150,Barium sulfate,[Ba++].[O-]S([O-])(=O)=O,BaO4S,233.39,233.8569705,233.392,-3.4103,4,2
DB14530,Chromous sulfate,[Cr++].[O-]S([O-])(=O)=O,CrO4S,148.05,147.892236,148.058,-3.4103,4,2
